specname,classification,spectral_type,forb_visual_comments,halpha_profile_comments,l6300,l6363,l6548,l6584,l6717,l6732,lamost_design_id,_RAJ2000,_DEJ2000,subclass,snru,snrg,snrr,snri,snrz,2MASS,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,AllWISE,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,objID_panstarrs,Av,Av_lower,Av_upper,n(J-K),n(K-W2),(J-H)_0,(H-K)_0,(W1-W2)_0,(W2-W3)_0,e_(J-H)_0,e_(H-K)_0,(BP-RP)_0,abs_Vmag,abs_Vmag_u,abs_Vmag_l,e_absV_u,e_absV_l,Name_our,Name_unique,source_id,ra,ra_error,dec,dec_error,parallax_x,parallax_error_x,parallax_over_error,pm,pmra,pmra_error_x,pmdec_x,pmdec_error_x,ruwe,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,(B-V)_0,
spec-57071-GAC084N35M1_sp02-138.fits.gz,A[e],A0," yes, nii, sii, noisy",Single Peak; peak above continuum,yes,no,maybe,yes,yes,maybe,LAMOST J053044.86+335606.9,82.686941,33.935266,A2IV,1.73,10.66,18.28,26.85,18.11,05304487+3356068,15.712,15.262,14.934,0.065,0.094,0.119,AAB,222,0,,,,,,,,,,,,,,,,,1.48720826869393E+017,1.76896316664219,1.39760397386551,1.87151899271011,-1.79012707464605,,0.251876125336074,0.234244952167963,,,0.114284732138637,0.151647617851386,,,,,,,LEMC 3031,LEMC 3031,3.44918330077669E+018,82.68694927568,0.0656,33.93528275919,0.05,-0.0314,0.0764,-0.4114,0.793,0.702,0.084,-0.369,0.059,1.014,false,17.071358,17.50159,16.454044,1.231,1.047546,0.002903,0.009457,0.006489,9356.643,6593.2163,14503.349,5971.903,4696.468,7927.8086,,
spec-57392-GAC092N13M1_sp05-172.fits.gz,A[e],A0," yes-nii, sii; lots of unid lines; noisy",Single Peak; peak below continuum,maybe,no,yes,yes,yes,maybe,LAMOST J061103.15+125730.0,92.763139,12.958352,A2V,0.8,10.03,16.26,20.51,15.47,06110315+1257299,15.237,14.776,14.446,0.052,0.069,0.066,AAA,222,0,J061103.16+125730.0,13.295,12.18,8.32,6.163,0.026,0.023,0.025,0.055,AAAA,,,,,,,1.23550927631891E+017,1.43608047819138,1.22472268271446,1.56689046578407,-1.67225670713287,-0.172417541697399,0.300158986442566,0.253887734655857,1.115,3.86,0.086400231481171,0.095482982777037,,,,,,,LEMC 3075,LEMC 3075,3.3440491027388E+018,92.76318666215,0.0603,12.95833589867,0.0519,0.2966,0.0726,4.0835,0.753,-0.478,0.078,-0.581,0.058,1.063,false,16.576706,16.978355,15.989137,1.224,0.989219,0.002854,0.007144,0.005519,3257.3413,2601.741,4037.4556,3279.1484,2696.0208,4111.748,,
spec-57369-GAC096N11M1_sp01-010.fits.gz,A[e],A0," yes forb- nii, sii, lots of unidentified lines, noisy",Single Peak; peak above continuum,maybe,yes,yes,yes,yes,yes,LAMOST J062646.79+085258.1,96.694984,8.882806,A2IV,0.87,9.88,11.55,11.77,4.93,06264679+0852581,16.101,15.448,16.603,0.111,0.103,,BBU,220,0,,,,,,,,,,,,,,,,,1.1865096695016E+017,0.962156475615501,0.630291970598698,1.42500794773102,-3.66699319505263,,0.545238474731063,-1.20599429320762,,,0.151426549851735,,,,,,,,LEMC 3096,LEMC 3096,3.32711143535157E+018,96.6950107521,0.066,8.88279330984,0.0599,0.1319,0.0778,1.6945,0.2,0.164,0.085,-0.114,0.069,0.937,false,17.114735,17.441149,16.625051,1.198,0.816097,0.002925,0.0091,0.007319,5214.146,3960.6553,7501.094,5162.173,4285.917,6046.2856,,
spec-57738-HD054602S041606V01_sp08-230.fits.gz,A[e],A0," yes-nii, sii; bad spectra;noisy",Single Peak; peak below continuum,no,no,no,maybe,yes,maybe,LAMOST J054835.17-043704.3,87.146546,-4.617874,A2V,0.85,8.74,14.87,8.58,8.36,05483516-0437042,11.905,11.691,11.583,0.024,0.024,0.021,AAA,222,0,J054835.16-043704.3,11.54,11.537,11.206,8.768,0.023,0.022,0.149,0.422,AABC,0.559,0.083,13.189,0.023,13.748,0.08,1.02450871463669E+017,1.17837193793058,1.17837193793058,1.17837193793058,-2.37093468067985,-2.84861274051613,0.082022342951776,0.045546287289678,0.002999999999998,0.331000000000001,0.033941125496954,0.031890437438204,0.185456095676006,1.67752091059808,1.75926285255855,1.59271002051068,0.08174194196047,0.084810890087409,LEMC 3159,LEMC 3159,3.02360956424191E+018,87.1465175083,0.0172,-4.6178694008,0.0163,0.829,0.0198,41.8908,2.198,0.992,0.021,-1.961,0.018,1.297,false,13.025505,13.337713,12.539657,1.202,0.798057,0.00277,0.002898,0.003796,1152.2073,1123.4442,1184.7615,1155.7008,1128.7249,1181.0135,0.178880020022393,
spec-57426-GAC090N26M2_sp15-060.fits.gz,A[e],A0," yes-nii, sii",Single Peak; peak above continuum,yes,yes,maybe,yes,yes,yes,LAMOST J055811.71+271911.3,89.548814,27.319809,A2V,1.28,4.82,14.84,18.17,12.63,05581171+2719112,14.422,14.1,13.991,0.027,0.039,0.046,AAA,222,0,J055811.72+271911.2,13.997,14.029,12.152,8.614,0.03,0.05,,,AAUU,0.8,0.247,16.167,0.247,16.967,0.011,1.40780895488164E+017,0.79471597713232,0.76903745136261,0.807815645718575,-2.08006093692572,-2.91391320480877,0.232991810561181,0.066880053211987,-0.032000000000002,1.877,0.047434164902526,0.060307545133259,0.548075035249055,4.4109776965011,4.61441346324051,4.18753144786139,0.203435766739407,0.223446248639709,LEMC 3314,LEMC 3314,3.43081468772607E+018,89.54881579041,0.0386,27.3197987262,0.0325,0.5511,0.0436,12.6276,3.255,-1.094,0.049,-3.065,0.034,1.027,false,15.861253,16.310587,15.238613,1.226,1.071974,0.002797,0.004577,0.004333,1722.8313,1599.5181,1844.0663,1752.1624,1606.2836,1865.7117,0.543640007376671,
spec-55976-GAC_099N04_V1_sp06-155.fits.gz,Ae,A0," no, strong ha em, blue end noisy",Single Peak; peak above continuum,maybe,no,no,no,no,no,LAMOST J064714.86+035830.0,101.81194,3.975002,A2V,2.49,25.46,34.63,43.05,40.13,06471486+0358298,11.913,11.793,11.641,0.024,0.027,0.024,AAA,222,0,J064714.86+035829.7,11.444,11.269,10.403,7.996,0.023,0.021,0.08,,AAAU,,,,,,,1.127710181195E+017,1.34279594446421,0.997195559346676,1.47981589546204,-2.5010126839106,-2.46779600614419,-0.030393145779991,0.080831814943398,0.175000000000001,0.866000000000001,0.036124783736377,0.036124783736377,,,,,,,LEMC 2124,LEMC 2124,3.12745850191018E+018,101.81193886961,0.0139,3.97501472473,0.0141,0.2367,0.015,15.7278,1.249,-0.541,0.016,1.126,0.015,1.051,false,12.720694,12.911341,12.372445,1.189,0.538896,0.002777,0.002888,0.003844,3637.4111,3452.7825,3875.8728,3628.609,3435.94,3808.399,,
spec-57426-GAC090N26M2_sp05-196.fits.gz,Ae,A0,no forb; noisy; not well normalized; ha eia,Single Peak; peak below continuum,no,no,no,no,no,no,LAMOST J055909.05+254251.4,89.78771,25.714291,A1IV,2.67,25.1,37.87,48.92,34.01,05590905+2542514,15.219,14.919,14.889,0.041,0.066,0.094,AAA,222,0,J055909.06+254251.7,14.633,14.689,12.312,8.699,0.035,0.075,,0.438,AAUC,,,,,,,1.38850897877078E+017,1.44732516961098,1.39128824744225,1.62768272192478,-2.43565802709863,-2.68711447216381,0.137899581003571,-0.046708233989383,-0.056000000000001,2.377,0.077698133825723,0.11485643212289,,,,,,,LEMC 2141,LEMC 2141,3.4296224091025E+018,89.78773137698,0.0659,25.71427770413,0.0576,0.3433,0.0681,5.042,1.221,-0.011,0.07,-1.221,0.055,0.994,false,16.493443,16.8953,15.91153,1.22,0.98377,0.002856,0.006846,0.005758,2795.3098,2364.5796,3427.635,2790.8218,2444.6611,3247.4136,,
spec-55984-GAC_099N04_V4_sp14-113.fits.gz,Ae,A0,no forb; noisy; wavy conti; small ha eia,Single Peak; peak above continuum,maybe,no,no,no,no,no,LAMOST J063006.65+052031.1,97.527736,5.341998,A5V,2.07,21.43,32.98,55.1,43.4,06300665+0520311,11.801,11.62,11.607,0.026,0.023,0.024,AAA,222,0,J063006.65+052031.1,11.618,11.654,10.701,7.963,0.027,0.03,,,AAUU,0.439,0.061,12.705,0.047,13.144,0.039,1.14410975277081E+017,0.445244216364622,0.423165839231014,0.465868004900217,-2.36961026715926,-2.89125204574561,0.131132647767162,-0.010597943467327,-0.036000000000001,0.953000000000003,0.03471310991542,0.033241540277189,0.297857583412415,2.22882858892179,2.32953632456456,2.12340608044411,0.10070773564277,0.105422508477671,LEMC 2330,LEMC 2330,3.13159583102394E+018,97.52773484596,0.0226,5.34198175151,0.021,0.8319,0.0263,31.6732,1.533,0.969,0.028,-1.188,0.024,1.648,false,12.610361,12.82602,12.247227,1.183,0.578794,0.002767,0.002982,0.003806,1149.2133,1117.129,1185.3147,1156.5243,1121.7825,1188.5846,0.295372833430767,
spec-56980-GAC097N16B1_sp15-114.fits.gz,Ae,A0,no forb; small ha em,Single Peak; peak below continuum,maybe,no,no,no,no,no,LAMOST J062937.28+170816.1,97.405355,17.137808,A2V,2.77,18.61,23.28,24.53,13.2,06293728+1708161,14.823,14.662,14.713,0.035,0.055,0.097,AAA,222,0,J062937.27+170815.9,14.494,14.737,12.526,9.016,0.032,0.092,,,AAUU,0.441,0.091,15.698,0.084,16.138,0.034,1.28560974053666E+017,1.56202798039913,1.01394801306725,1.58851349024773,-2.83164534528882,-2.97067761785613,-0.013947133804703,-0.133787482961152,-0.242999999999998,2.211,0.065192024052027,0.111507847257491,-0.054162869786524,1.10943319177552,1.51276453289522,0.640161283734785,0.403331341119694,0.469271908040737,LEMC 2483,LEMC 2483,3.3694997045461E+018,97.40537343014,0.0368,17.13783503762,0.033,0.1919,0.0439,4.3676,0.76,0.62,0.048,-0.439,0.038,1.151,false,15.551722,15.787994,15.157517,1.189,0.630478,0.002818,0.003897,0.004399,4472.9634,3782.7485,6011.0312,3902.0212,3456.774,4479.0693,-0.062879993677139,
spec-56979-GAC096N16B1_sp16-239.fits.gz,Ae,A0,no forb; noisy; ha eia;,Single Peak; peak below continuum,maybe,no,no,maybe,maybe,no,LAMOST J062034.51+190826.2,95.143819,19.140631,A1IV,1.84,18.28,23.9,28.2,14.56,06203452+1908262,14.912,14.881,14.519,0.041,0.067,0.073,AAA,222,0,J062034.52+190826.4,14.662,14.645,12.532,8.715,0.037,0.073,,,AAUU,0.473,0.062,15.976,0.059,16.448,0.018,1.30960951438329E+017,0.886395199751854,0.822119950997829,0.904331954264641,-2.16927827500623,-3.0297965255324,-0.068276262372205,0.31502105441315,0.017000000000001,2.113,0.078549347546622,0.099085821387321,0.192012721678662,2.54642135233218,2.99919077054378,2.0072667632264,0.452769418211599,0.539154589105786,LEMC 2510,LEMC 2510,3.37391201034941E+018,95.14382349854,0.0418,19.14062894495,0.0386,0.1593,0.0444,3.5866,1.465,-0.012,0.047,-1.465,0.038,0.951,false,15.8574,16.123829,15.438539,1.187,0.68529,0.002818,0.004553,0.004816,4985.022,4137.6387,6163.1953,4290.436,3706.0227,5228.712,0.187066064596176,
spec-57369-GAC096N11M1_sp16-037.fits.gz,Ae,A0,no forb; ha not in em; noisy spectra,Single Peak; peak below continuum,maybe,maybe,no,maybe,yes,maybe,LAMOST J062007.11+130833.6,95.02963,13.142688,A1IV,1.61,16.47,26.1,31.29,16.41,06200711+1308334,15.807,15.553,15.376,0.069,0.128,0.197,ABC,222,0,J062007.08+130834.4,15.177,15.47,12.444,8.949,0.043,0.125,,,ABUU,,,,,,,1.23770950296622E+017,1.86347201960087,1.25088567661047,1.91827996733189,-2.38967483570738,-3.08483560650035,0.045291133804704,0.078235982961154,-0.293000000000001,3.026,0.145413204352287,0.234931905027819,,,,,,,LEMC 2619,LEMC 2619,3.33241273066586E+018,95.02966726012,0.0917,13.14267853631,0.0996,0.222,0.1207,1.8391,0.883,0.186,0.097,-0.863,0.092,0.946,false,17.248362,17.721937,16.6033,1.231,1.118637,0.002981,0.011862,0.007766,4554.6196,3181.314,7439.523,3657.2788,2974.639,4855.964,,
spec-57033-GAC070N40B2_sp04-007.fits.gz,Ae,A0,no forb; not much features; no ha em,Single Peak; peak below continuum,maybe,no,no,no,no,no,LAMOST J043907.87+403511.0,69.782801,40.586402,A1V,2.43,15.86,22.26,26.36,15.42,04390787+4035109,14.49,14.412,14.348,0.033,0.056,0.093,AAA,222,0,J043907.86+403511.0,14.168,14.215,12.51,9.077,0.028,0.049,,,AAUU,,,,,,,1.56700697828134E+017,1.45241192159653,1.12356399019957,1.45241192159653,-2.74712519658133,-2.76911978654608,-0.084670135218812,-0.012977831844614,-0.047000000000001,1.705,0.065,0.108558739860041,,,,,,,LEMC 2658,LEMC 2658,2.03059869004607E+017,69.7828156592,0.0292,40.58641689106,0.0171,0.1675,0.034,4.9317,0.5,0.379,0.036,-0.326,0.031,0.983,false,15.590062,15.887568,15.107337,1.208,0.780231,0.002772,0.003442,0.004052,4722.219,4050.7031,5324.724,4361.7163,3756.1865,5032.257,,
spec-57399-GAC085N14M1_sp16-226.fits.gz,Ae,A0," no, noisy, ha eia",Single Peak; peak below continuum,yes,maybe,maybe,maybe,yes,maybe,LAMOST J053803.06+160902.4,84.512767,16.150678,A2IV,1.27,10.11,16.8,18.82,11.05,05380307+1609025,16.186,16.338,15.891,0.097,,,AUU,200,0,J053803.06+160902.4,16.104,16.723,12.182,8.457,0.07,0.372,,,ACUU,,,,,,,1.27380845127641E+017,1.09615993466377,1.09615993466377,1.09615993466377,-2.39163857861938,-3.9089315859564,-0.274769912682343,0.388903523462823,-0.619,4.541,,,,,,,,,LEMC 3065,LEMC 3065,3.3961654728588E+018,84.51278195724,0.0841,16.15069590019,0.0625,0.259,0.1024,2.5284,0.577,0.577,0.104,-0.004,0.066,0.988,false,17.43652,17.739521,16.954384,1.205,0.785137,0.002901,0.01294,0.008443,3244.7803,2541.301,4399.0396,5008.662,4095.4558,5899.604,,
